timelineid,language,categorie,order,title,location,started,finished,description,description_ext,tags,logos,image_ext
phd_researcher,en,workexperience,1,"PhD Researcher & Teaching Assistant","Ghent University (UGent)","2025+",,"PhD trajectory in Information Engineering Technology: teaching assistance, research, academic writing and conferences.","In this role, I am responsible for supporting both research and teaching activities, including assisting in lectures, conducting research projects, and participating in academic conferences and publications.","{""Teaching"",""Research"",""Academic Writing"",""Conferences""}","{""/logos/Imec_tp.png"",""/logos/IDLab_tp.png""}",
phd_researcher,nl,workexperience,1,"Doctoraatsonderzoeker & Assistent","Universiteit Gent (UGent)","2025+",,"Doctoraatstraject in Information Engineering Technology: onderwijsassistentie, onderzoek, academisch schrijven en conferenties.","Als doctoraatsonderzoeker en assistent ondersteun ik zowel onderzoeksprojecten als onderwijsactiviteiten, waaronder het begeleiden van studenten, het uitvoeren van onderzoek en het deelnemen aan academische conferenties.","{""Onderwijs"",""Onderzoek"",""Academisch Schrijven"",""Conferenties""}","{""/logos/Imec_tp.png"",""/logos/IDLab_tp.png""}",
skyline_intern_2024,en,workexperience,2,"DevOps Engineer Intern","Skyline Communications","Summer 2024",,"Developed an Integration Test Boundary Manager in .NET to streamline environment navigation and boundary configuration for integration tests.","During my internship, I designed and implemented a tool in .NET that automated the setup and management of integration test environments, improving efficiency and reliability for the development team.","{"".NET"",""DevOps"",""Automation"",""C#""}","{""/logos/skylinecommunications.png""}",
skyline_intern_2024,nl,workexperience,2,"DevOps Engineer Stagiair","Skyline Communications","Zomer 2024",,"Een Integration Test Boundary Manager in .NET ontwikkeld om omgevingnavigatie en boundaryconfiguratie voor integratietests te vereenvoudigen.","Tijdens mijn stage heb ik een tool ontwikkeld in .NET die het beheer van integratietestomgevingen automatiseert, waardoor het ontwikkelproces efficiënter en betrouwbaarder werd.","{"".NET"",""DevOps"",""Automatisatie"",""C#""}","{""/logos/skylinecommunications.png""}",
lifeguard_summers,en,workexperience,3,"Lifeguard","Krekel Swimming Pool Izegem","Summer 2021","Summer 2024","Worked four consecutive summers ensuring swimmer safety and providing first aid.","My responsibilities included monitoring pool safety, providing first aid when needed, and maintaining a safe and welcoming environment for all visitors over multiple summer seasons.","{""Lifeguard"",""First Aid"",""Safety""}","{""/logos/stad_izegem_transparent.svg"",""/logos/redfed_tp.png""}",
lifeguard_summers,nl,workexperience,3,"Redder","Zwembad De Krekel Izegem","Zomer 2021","Zomer 2024","Vier opeenvolgende zomers gewerkt met focus op veiligheid van zwemmers en eerste hulp.","Als redder was ik verantwoordelijk voor het waarborgen van de veiligheid van zwemmers, het verlenen van eerste hulp en het creëren van een veilige omgeving gedurende vier zomers.","{""Redder"",""Eerste Hulp"",""Veiligheid""}","{""/logos/stad_izegem_transparent.svg"",""/logos/redfed_tp.png""}",
bekafun_assistant_2020,en,workexperience,4,"Assistant","Bekafun BVBA","Summer 2020",,"Assisted with logistics, customer service and technical support.","I supported the team with logistical tasks, helped customers with inquiries, and provided technical assistance, gaining valuable experience in a dynamic work environment.","{""Logistics"",""Customer Service"",""Technical Support""}","{""/logos/bekafun_tp.png""}",
bekafun_assistant_2020,nl,workexperience,4,"Assistent","Bekafun BVBA","Zomer 2020",,"Geholpen met logistiek, klantendienst en technische ondersteuning.","Ik ondersteunde het team met logistieke taken, hielp klanten met vragen en bood technische assistentie, waardoor ik waardevolle ervaring opdeed in een dynamische werkomgeving.","{""Logistiek"",""Klantendienst"",""Technische Ondersteuning""}","{""/logos/bekafun_tp.png""}",
phd_program_future,en,education,1,"PhD in Information Engineering Technology","Ghent University (UGent)","2025+",,"Planned doctoral trajectory in Information Engineering Technology.","This planned PhD program will focus on advanced topics in information engineering, including research, academic writing, and participation in international conferences.","{""Academic Writing"",""Conferences"",""Research""}","{""/logos/Imec_tp.png"",""/logos/IDLab_tp.png""}",
phd_program_future,nl,education,1,"Doctoraat Information Engineering Technology","Universiteit Gent (UGent)","2025+",,"Gepland doctoraatstraject in Information Engineering Technology.","Dit geplande doctoraatstraject richt zich op geavanceerde onderwerpen in information engineering, waaronder onderzoek, academisch schrijven en deelname aan internationale conferenties.","{""Academisch Schrijven"",""Conferenties"",""Onderzoek""}","{""/logos/Imec_tp.png"",""/logos/IDLab_tp.png""}",
masters_thesis_aibomgen_2025,en,education,2,"Master’s Thesis: AIBoMGen","Ghent University (UGent)","2025","2025","Tool development for generating AI Bills of Materials tracking training data, dependencies and EU AI Act compliance.","My thesis project involved building a tool to track AI training data, dependencies, and compliance with the EU AI Act, contributing to transparency and accountability in AI systems.","{""AI Transparency"",""Compliance"",""Software Development""}","{""/logos/UGent_tp.png""}",
masters_thesis_aibomgen_2025,nl,education,2,"Masterproef: AIBoMGen","Universiteit Gent (UGent)","2025","2025","Ontwikkeling van een tool voor AI Bill of Materials met tracking van trainingsdata, afhankelijkheden en EU AI Act compliance.","Mijn masterproef bestond uit het bouwen van een tool die AI-trainingsdata, afhankelijkheden en compliance met de EU AI Act bijhoudt, wat bijdraagt aan transparantie en verantwoordelijkheid in AI-systemen.","{""AI Transparantie"",""Compliance"",""Softwareontwikkeling""}","{""/logos/UGent_tp.png""}",
masters_program_2024_2025,en,education,3,"Master in Information Engineering Technology","Ghent University (UGent)","2024","2025","Master program focusing on AI, system design and cyber security.","This master's program provided in-depth knowledge in artificial intelligence, system architecture, and cybersecurity, preparing me for advanced roles in technology and research.","{""Cyber Security"",""System Design"",""Machine Learning"",""Blockchain"",""Computer Graphics""}","{""/logos/UGent_tp.png""}",
masters_program_2024_2025,nl,education,3,"Master Information Engineering Technology","Universiteit Gent (UGent)","2024","2025","Masterprogramma met focus op AI, systeemontwerp en cyberbeveiliging.","Dit masterprogramma bood diepgaande kennis in kunstmatige intelligentie, systeemarchitectuur en cyberbeveiliging, en bereidde mij voor op geavanceerde functies in technologie en onderzoek.","{""Cybersecurity"",""Systeemontwerp"",""Machine Learning"",""Blockchain"",""Computer Graphics""}","{""/logos/UGent_tp.png""}",
bachelor_program_2021_2024,en,education,4,"Bachelor in Information Engineering Technology","Ghent University (UGent)","2021","2024","Bachelor program emphasizing computer science, software development and mathematics.","The bachelor program provided a strong foundation in computer science, mathematics, and programming, equipping me with essential analytical and technical skills.","{""Computer Science"",""General Sciences"",""Mathematics"",""Programming""}","{""/logos/UGent_tp.png""}",
bachelor_program_2021_2024,nl,education,4,"Bachelor Information Engineering Technology","Universiteit Gent (UGent)","2021","2024","Bachelorprogramma met nadruk op informatica, softwareontwikkeling en wiskunde.","Het bachelorprogramma bood een sterke basis in informatica, wiskunde en programmeren, waardoor ik essentiële analytische en technische vaardigheden heb ontwikkeld.","{""Informatica"",""Algemene Wetenschappen"",""Wiskunde"",""Programmeren""}","{""/logos/UGent_tp.png""}",
